"Unidade de Saúde";"JANEIRO/2025";"FEVEREIRO/2025";"MARÇO/2025";"ABRIL/2025";"MAIO/2025";"JUNHO/2025";"JULHO/2025";"AGOSTO/2025";"SETEMBRO/2025";"OUTUBRO/2025";"NOVEMBRO/2025";"DEZEMBRO/2025";" Total"
"0433594 CLINICA DA FAMILIA ALVARO DIFINI";"97";"85";"67";"69";"61";"50";"55";"57";"62";"66";"92";"107";"868"
"2237113 UNIDADE DE SAUDE ILHA DA PINTADA";"0";"0";"0";"0";"14";"2";"0";"1";"0";"0";"8";"17";"42"
"2237210 UNIDADE DE SAUDE TIMBAUVA";"31";"44";"19";"21";"12";"21";"42";"29";"38";"28";"63";"13";"361"
"2237237 UNIDADE DE SAUDE MILTA RODRIGUES";"24";"38";"16";"8";"48";"9";"40";"36";"32";"14";"38";"7";"310"
"2237245 UNIDADE DE SAUDE ASSIS BRASIL";"84";"67";"46";"48";"36";"57";"28";"60";"56";"85";"47";"32";"646"
"2237288 UNIDADE DE SAUDE APARICIO BORGES";"27";"26";"46";"25";"36";"17";"14";"0";"21";"0";"0";"66";"278"
"2237318 UNIDADE DE SAUDE CRISTAL";"44";"40";"21";"50";"24";"49";"57";"32";"38";"71";"65";"42";"533"
"2237326 UNIDADE DE SAUDE CRUZEIRO DO SUL";"7";"4";"0";"2";"3";"5";"4";"2";"4";"3";"2";"3";"39"
"2237342 UNIDADE DE SAUDE MAPA";"58";"34";"75";"71";"69";"53";"96";"57";"94";"66";"70";"62";"805"
"2237350 UNIDADE DE SAUDE RECREIO DA DIVISA";"17";"18";"12";"9";"27";"12";"16";"16";"20";"16";"19";"18";"200"
"2237369 UNIDADE DE SAUDE BANANEIRAS";"76";"40";"85";"46";"56";"69";"64";"69";"56";"42";"70";"41";"714"
"2237377 UNIDADE DE SAUDE SAO JOSE";"39";"28";"32";"30";"40";"43";"42";"28";"34";"38";"33";"26";"413"
"2237423 UNIDADE DE SAUDE SAO BORJA";"20";"20";"42";"18";"0";"21";"10";"84";"33";"37";"27";"20";"332"
"2237458 UNIDADE DE SAUDE HERDEIROS";"13";"21";"8";"7";"5";"11";"24";"11";"9";"8";"10";"15";"142"
"2237482 UNIDADE DE SAUDE PITORESCA";"15";"21";"26";"7";"15";"24";"20";"18";"25";"15";"15";"21";"222"
"2237512 UNIDADE DE SAUDE OSMAR FREITAS";"17";"34";"13";"20";"23";"18";"21";"7";"12";"22";"10";"18";"215"
"2237539 UNIDADE DE SAUDE CAMPOS DO CRISTAL";"26";"23";"15";"26";"20";"27";"17";"29";"21";"18";"30";"11";"263"
"2237733 UNIDADE DE SAUDE TIJUCA";"21";"16";"13";"27";"13";"15";"8";"34";"36";"22";"19";"15";"239"
"2237792 CLINICA DA FAMILIA MORRO SANTANA";"56";"77";"51";"56";"62";"61";"55";"38";"76";"52";"51";"54";"689"
"2237822 HOSPITAL MATERNO INFANTIL PRESIDENTE VARGAS";"71";"91";"98";"111";"99";"138";"114";"86";"109";"134";"120";"112";"1283"
"2237903 UNIDADE DE SAUDE GRACILIANO RAMOS";"13";"18";"19";"2";"8";"7";"6";"7";"6";"15";"9";"9";"119"
"2237911 UNIDADE DE SAUDE SAFIRA NOVA";"28";"40";"68";"37";"19";"13";"20";"19";"26";"34";"20";"22";"346"
"2237946 UNIDADE DE SAUDE JARDIM CARVALHO";"31";"29";"16";"35";"19";"6";"9";"33";"29";"18";"24";"48";"297"
"2237954 UNIDADE DE SAUDE JARDIM PROTASIO ALVES";"26";"23";"26";"51";"11";"21";"11";"16";"22";"23";"18";"22";"270"
"2262568 HOSPITAL SAO LUCAS DA PUCRS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
"2264196 UNIDADE DE SAUDE JARDIM DA FAPA";"16";"35";"11";"37";"14";"14";"15";"21";"21";"20";"14";"20";"238"
"2264218 UNIDADE DE SAUDE BECO DOS COQUEIROS";"39";"28";"16";"4";"14";"19";"15";"12";"29";"19";"30";"22";"247"
"2264226 UNIDADE DE SAUDE SAO GABRIEL";"0";"4";"1";"22";"0";"13";"3";"0";"0";"13";"45";"0";"101"
"2264234 UNIDADE DE SAUDE QUINTA UNIDADE";"44";"13";"21";"38";"27";"21";"29";"31";"17";"38";"26";"31";"336"
"2264250 UNIDADE DE SAUDE PASSO DAS PEDRAS II";"29";"54";"22";"8";"9";"33";"17";"23";"35";"57";"22";"24";"333"
"2264269 UNIDADE DE SAUDE MARIA DA CONCEICAO MARCELO MARTINS MOREIRA";"25";"68";"74";"80";"36";"47";"39";"53";"35";"34";"7";"15";"513"
"2264285 UNIDADE DE SAUDE FARRAPOS";"24";"18";"43";"19";"26";"33";"32";"60";"29";"39";"47";"20";"390"
"2264315 UNIDADE DE SAUDE SANTA TEREZA";"36";"20";"28";"36";"30";"12";"12";"14";"14";"37";"37";"23";"299"
"2264331 CLINICA DA FAMILIA NAVEGANTES";"89";"97";"76";"59";"48";"66";"76";"79";"69";"81";"55";"60";"855"
"2264366 UNIDADE DE SAUDE ILHA DOS MARINHEIROS";"16";"31";"16";"8";"6";"3";"1";"6";"19";"22";"19";"9";"156"
"2264374 CLINICA DA FAMILIA DIRETOR PESTANA";"0";"38";"51";"19";"31";"19";"32";"50";"36";"68";"64";"48";"456"
"2264390 CLINICA DA FAMILIA MODELO";"119";"134";"48";"91";"56";"114";"39";"99";"100";"137";"94";"63";"1094"
"2264404 CLINICA DA FAMILIA JOSE MAURO CERATTI LOPES";"47";"116";"72";"73";"36";"67";"36";"56";"39";"54";"58";"67";"721"
"2264412 UNIDADE DE SAUDE CHACARA DO BANCO";"60";"40";"24";"55";"53";"13";"21";"26";"19";"26";"23";"45";"405"
"2264420 UNIDADE DE SAUDE CIDADE DE DEUS";"17";"15";"14";"10";"8";"6";"11";"16";"15";"4";"8";"12";"136"
"2264439 UNIDADE DE SAUDE MORRO DOS SARGENTOS";"29";"45";"51";"29";"15";"12";"35";"21";"10";"36";"39";"31";"353"
"2264447 UNIDADE DE SAUDE SAO VICENTE MARTIR";"16";"16";"8";"15";"12";"14";"19";"15";"15";"12";"15";"20";"177"
"2264455 UNIDADE DE SAUDE PONTA GROSSA";"37";"42";"10";"18";"23";"15";"43";"42";"27";"12";"39";"19";"327"
"2264463 UNIDADE DE SAUDE BECO DO ADELAR";"70";"59";"46";"68";"55";"50";"44";"51";"55";"54";"45";"48";"645"
"2264471 CLINICA DA FAMILIA BELEM NOVO";"36";"37";"27";"40";"30";"28";"23";"22";"31";"45";"25";"21";"365"
"2264501 UNIDADE DE SAUDE CALABRIA";"58";"26";"58";"84";"62";"60";"56";"39";"51";"43";"35";"45";"617"
"2264528 UNIDADE DE SAUDE CAMAQUA";"51";"60";"68";"90";"58";"73";"77";"46";"75";"68";"58";"51";"775"
"2264536 UNIDADE DE SAUDE CAMPO NOVO";"68";"50";"43";"55";"69";"32";"27";"41";"33";"42";"51";"17";"528"
"2264544 UNIDADE DE SAUDE IPANEMA";"34";"27";"26";"29";"30";"10";"24";"24";"14";"27";"30";"31";"306"
"2264552 UNIDADE DE SAUDE JARDIM DAS PALMEIRAS";"24";"31";"16";"22";"34";"29";"31";"41";"34";"18";"33";"26";"339"
"2264560 UNIDADE DE SAUDE LAMI";"42";"38";"25";"27";"13";"22";"19";"38";"17";"28";"56";"21";"346"
"2264579 UNIDADE DE SAUDE MONTE CRISTO";"46";"34";"22";"29";"57";"24";"37";"28";"27";"42";"30";"22";"398"
"2264587 UNIDADE DE SAUDE RESTINGA";"44";"57";"24";"76";"27";"64";"35";"26";"50";"17";"60";"29";"509"
"2264595 CLINICA DA FAMILIA TRISTEZA";"56";"54";"23";"41";"45";"36";"26";"50";"39";"51";"48";"48";"517"
"2264609 UNIDADE DE SAUDE MACEDONIA";"151";"61";"42";"62";"0";"147";"10";"89";"0";"52";"157";"136";"907"
"2264617 UNIDADE DE SAUDE ASA BRANCA";"0";"0";"0";"0";"0";"5";"16";"12";"13";"12";"33";"22";"113"
"2264633 UNIDADE DE SAUDE NOVA BRASILIA";"35";"35";"45";"29";"37";"28";"47";"74";"38";"75";"43";"35";"521"
"2264641 UNIDADE DE SAUDE NOVA GLEBA";"8";"7";"13";"7";"3";"6";"8";"28";"18";"32";"20";"13";"163"
"2264676 UNIDADE DE SAUDE VILA ELIZABETH";"18";"14";"0";"8";"26";"25";"15";"14";"19";"28";"20";"32";"219"
"2264684 UNIDADE DE SAUDE SARANDI";"28";"39";"33";"23";"0";"15";"23";"22";"14";"39";"29";"23";"288"
"2264692 UNIDADE DE SAUDE SANTA ROSA";"37";"43";"53";"48";"29";"37";"53";"38";"48";"61";"24";"36";"507"
"2264706 UNIDADE DE SAUDE RAMOS";"79";"73";"74";"45";"34";"46";"29";"48";"37";"81";"43";"38";"627"
"2264714 UNIDADE DE SAUDE JENOR JARROS";"11";"8";"29";"19";"15";"15";"11";"18";"13";"10";"22";"17";"188"
"2264722 UNIDADE DE SAUDE ESMERALDA";"18";"44";"31";"37";"28";"23";"36";"26";"23";"31";"18";"11";"326"
"2264730 UNIDADE DE SAUDE SAO PEDRO";"21";"24";"18";"14";"16";"20";"11";"27";"15";"15";"16";"16";"213"
"2264749 UNIDADE DE SAUDE PITINGA";"24";"14";"14";"11";"16";"9";"9";"13";"9";"7";"22";"39";"187"
"2264757 UNIDADE DE SAUDE VICOSA";"18";"16";"13";"35";"16";"17";"14";"16";"11";"7";"22";"4";"189"
"2264765 UNIDADE DE SAUDE MATO SAMPAIO";"22";"12";"19";"29";"20";"17";"18";"18";"25";"35";"23";"35";"273"
"2264773 UNIDADE DE SAUDE VILA BRASILIA";"17";"19";"22";"13";"20";"25";"14";"11";"12";"13";"8";"11";"185"
"2264781 UNIDADE DE SAUDE VILA PINTO";"17";"23";"10";"16";"11";"18";"12";"16";"22";"20";"15";"13";"193"
"2264803 UNIDADE DE SAUDE LARANJEIRAS";"15";"12";"9";"25";"9";"9";"11";"10";"24";"22";"20";"11";"177"
"2264811 UNIDADE DE SAUDE VILA IPIRANGA";"28";"52";"20";"37";"19";"55";"14";"30";"39";"49";"33";"8";"384"
"2264838 UNIDADE DE SAUDE SAO CARLOS";"54";"49";"58";"43";"52";"77";"68";"57";"42";"37";"33";"23";"593"
"2264846 UNIDADE DE SAUDE VILA JARDIM";"32";"34";"19";"52";"23";"24";"25";"36";"26";"15";"22";"35";"343"
"2264854 UNIDADE DE SAUDE SAO CRISTOVAO";"48";"61";"35";"52";"31";"41";"36";"73";"57";"49";"62";"39";"584"
"2264862 UNIDADE DE SAUDE RUBEM BERTA";"43";"51";"37";"31";"34";"46";"24";"40";"36";"57";"41";"78";"518"
"2264870 UNIDADE DE SAUDE CHACARA DA FUMACA";"33";"70";"34";"46";"26";"42";"31";"58";"41";"36";"50";"29";"496"
"2264889 UNIDADE DE SAUDE VILA SAFIRA";"8";"18";"25";"24";"16";"12";"17";"15";"21";"17";"15";"7";"195"
"2264897 UNIDADE DE SAUDE WENCESLAU FONTOURA";"8";"21";"1";"0";"44";"23";"15";"27";"22";"7";"42";"18";"228"
"2264900 UNIDADE DE SAUDE BATISTA FLORES";"29";"21";"15";"18";"25";"11";"18";"28";"18";"16";"29";"15";"243"
"2264935 UNIDADE DE SAUDE SANTA ANITA";"16";"12";"22";"5";"3";"7";"10";"0";"7";"12";"8";"8";"110"
"2264943 UNIDADE DE SAUDE ALTO ERECHIM";"27";"29";"17";"17";"18";"9";"7";"16";"14";"18";"25";"24";"221"
"2264951 UNIDADE DE SAUDE JARDIM CASCATA";"16";"22";"20";"4";"15";"6";"22";"5";"15";"30";"15";"31";"201"
"2264986 CLINICA DA FAMILIA PRIMEIRO DE MAIO";"42";"45";"23";"30";"25";"23";"37";"87";"32";"56";"29";"55";"484"
"2265001 UNIDADE DE SAUDE NONOAI";"38";"34";"47";"36";"24";"23";"26";"28";"23";"20";"22";"71";"392"
"2265028 UNIDADE DE SAUDE ESTRADA DOS ALPES";"10";"13";"18";"10";"13";"4";"15";"9";"13";"11";"8";"17";"141"
"2265036 UNIDADE DE SAUDE VILA CRUZEIRO";"68";"66";"65";"53";"69";"61";"67";"75";"69";"114";"49";"95";"851"
"2265044 UNIDADE DE SAUDE GLORIA";"18";"47";"36";"18";"43";"22";"22";"18";"32";"44";"25";"37";"362"
