"Unidade de Saúde";"JANEIRO/2025";"FEVEREIRO/2025";"MARÇO/2025";"ABRIL/2025";"MAIO/2025";"JUNHO/2025";"JULHO/2025";"AGOSTO/2025";"SETEMBRO/2025";"OUTUBRO/2025";"NOVEMBRO/2025";"DEZEMBRO/2025";" Total"
"0433594 CLINICA DA FAMILIA ALVARO DIFINI";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"2237113 UNIDADE DE SAUDE ILHA DA PINTADA";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2"
"2237210 UNIDADE DE SAUDE TIMBAUVA";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2"
"2237245 UNIDADE DE SAUDE ASSIS BRASIL";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"7"
"2237288 UNIDADE DE SAUDE APARICIO BORGES";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
"2237326 UNIDADE DE SAUDE CRUZEIRO DO SUL";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"2237334 AMBULATORIO DE ESPECIALIDADES SANTA MARTA";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2"
"2237342 UNIDADE DE SAUDE MAPA";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"4"
"2237350 UNIDADE DE SAUDE RECREIO DA DIVISA";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"2237369 UNIDADE DE SAUDE BANANEIRAS";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"4"
"2237377 UNIDADE DE SAUDE SAO JOSE";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4"
"2237385 AMBULATORIO DE ESPECIALIDADES IAPI";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"5"
"2237423 UNIDADE DE SAUDE SAO BORJA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
"2237458 UNIDADE DE SAUDE HERDEIROS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
"2237512 UNIDADE DE SAUDE OSMAR FREITAS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
"2237539 UNIDADE DE SAUDE CAMPOS DO CRISTAL";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"2237733 UNIDADE DE SAUDE TIJUCA";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"3"
"2237792 CLINICA DA FAMILIA MORRO SANTANA";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"10"
"2237911 UNIDADE DE SAUDE SAFIRA NOVA";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2"
"2237946 UNIDADE DE SAUDE JARDIM CARVALHO";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6"
"2237954 UNIDADE DE SAUDE JARDIM PROTASIO ALVES";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"2264196 UNIDADE DE SAUDE JARDIM DA FAPA";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"2264218 UNIDADE DE SAUDE BECO DOS COQUEIROS";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"2264226 UNIDADE DE SAUDE SAO GABRIEL";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
"2264234 UNIDADE DE SAUDE QUINTA UNIDADE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
"2264250 UNIDADE DE SAUDE PASSO DAS PEDRAS II";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3"
"2264269 UNIDADE DE SAUDE MARIA DA CONCEICAO MARCELO MARTINS MOREIRA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
"2264285 UNIDADE DE SAUDE FARRAPOS";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"5"
"2264315 UNIDADE DE SAUDE SANTA TEREZA";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3"
"2264331 CLINICA DA FAMILIA NAVEGANTES";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"5"
"2264366 UNIDADE DE SAUDE ILHA DOS MARINHEIROS";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3"
"2264374 CLINICA DA FAMILIA DIRETOR PESTANA";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"8"
"2264390 CLINICA DA FAMILIA MODELO";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"8"
"2264404 CLINICA DA FAMILIA JOSE MAURO CERATTI LOPES";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4"
"2264412 UNIDADE DE SAUDE CHACARA DO BANCO";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3"
"2264439 UNIDADE DE SAUDE MORRO DOS SARGENTOS";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"2264455 UNIDADE DE SAUDE PONTA GROSSA";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"3"
"2264463 UNIDADE DE SAUDE BECO DO ADELAR";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"7"
"2264471 CLINICA DA FAMILIA BELEM NOVO";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"8"
"2264501 UNIDADE DE SAUDE CALABRIA";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4"
"2264528 UNIDADE DE SAUDE CAMAQUA";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"4"
"2264536 UNIDADE DE SAUDE CAMPO NOVO";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7"
