"Munic do un.saúde";"JANEIRO/2025";"FEVEREIRO/2025";"MARÇO/2025";"ABRIL/2025";"MAIO/2025";"JUNHO/2025";"JULHO/2025";"AGOSTO/2025";"SETEMBRO/2025";"OUTUBRO/2025";"NOVEMBRO/2025";"DEZEMBRO/2025";" Total"
"430160 BAGE";"0";"1";"2";"2";"1";"5";"3";"1";"0";"0";"0";"1";"16"
"430210 BENTO GONCALVES";"0";"0";"1";"0";"1";"1";"0";"0";"1";"2";"0";"1";"7"
"430390 CAMPO BOM";"0";"0";"0";"0";"0";"0";"0";"0";"4";"2";"0";"0";"6"
"430460 CANOAS";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1"
"430510 CAXIAS DO SUL";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"4"
"430520 CERRO LARGO";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"430595 COTIPORA";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3"
"430600 CRISSIUMAL";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"430610 CRUZ ALTA";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"2"
"430700 ERECHIM";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"3"
"430745 ESPERANCA DO SUL";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"430760 ESTANCIA VELHA";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"3"
"430940 GUAPORE";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1"
"431000 IBIRUBA";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"431020 IJUI";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4"
"431130 LAGOA VERMELHA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1"
"431340 NOVO HAMBURGO";"0";"2";"4";"0";"2";"6";"0";"0";"2";"12";"0";"0";"28"
"431407 PASSO DO SOBRADO";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"431410 PASSO FUNDO";"1";"0";"0";"1";"1";"1";"1";"0";"0";"0";"1";"0";"6"
"431480 PORTAO";"0";"0";"0";"4";"0";"1";"2";"0";"0";"1";"0";"5";"13"
"431490 PORTO ALEGRE";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3"
"431680 SANTA CRUZ DO SUL";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"432250 VACARIA";"4";"3";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"10"
"432260 VENANCIO AIRES";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
"432280 VERANOPOLIS";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"3"
"Total";"9";"10";"17";"14";"8";"17";"8";"3";"8";"19";"2";"8";"123"
