"Munic do un.saúde";"JANEIRO/2025";"FEVEREIRO/2025";"MARÇO/2025";"ABRIL/2025";"MAIO/2025";"JUNHO/2025";"JULHO/2025";"AGOSTO/2025";"SETEMBRO/2025";"OUTUBRO/2025";"NOVEMBRO/2025";"DEZEMBRO/2025";" Total"
"430003 ACEGUA";"12";"12";"18";"34";"20";"23";"23";"2";"16";"12";"13";"67";"252"
"430005 AGUA SANTA";"19";"12";"16";"12";"20";"7";"12";"22";"8";"22";"15";"19";"184"
"430010 AGUDO";"63";"22";"85";"69";"51";"65";"45";"37";"97";"53";"51";"83";"721"
"430020 AJURICABA";"33";"12";"10";"14";"19";"19";"43";"21";"26";"48";"34";"25";"304"
"430030 ALECRIM";"31";"17";"5";"3";"35";"45";"34";"10";"22";"43";"41";"38";"324"
"430040 ALEGRETE";"447";"230";"296";"238";"510";"400";"530";"375";"422";"503";"463";"703";"5117"
"430045 ALEGRIA";"30";"40";"30";"17";"26";"26";"30";"0";"46";"27";"26";"36";"334"
"430047 ALMIRANTE TAMANDARE DO SUL";"28";"8";"18";"28";"34";"19";"16";"33";"18";"33";"13";"12";"260"
"430050 ALPESTRE";"64";"29";"32";"27";"71";"43";"33";"44";"61";"136";"47";"66";"653"
"430055 ALTO ALEGRE";"7";"6";"11";"2";"9";"4";"6";"5";"7";"7";"64";"42";"170"
"430057 ALTO FELIZ";"15";"31";"7";"8";"14";"9";"11";"9";"13";"5";"13";"13";"148"
"430060 ALVORADA";"396";"516";"244";"627";"496";"322";"465";"317";"535";"358";"289";"210";"4775"
"430063 AMARAL FERRADOR";"8";"3";"8";"11";"9";"16";"11";"2";"9";"34";"25";"18";"154"
"430064 AMETISTA DO SUL";"29";"44";"17";"39";"72";"35";"33";"16";"36";"74";"37";"14";"446"
"430066 ANDRE DA ROCHA";"16";"6";"17";"3";"34";"11";"13";"0";"6";"12";"14";"0";"132"
"430070 ANTA GORDA";"19";"39";"12";"3";"34";"20";"32";"9";"41";"8";"16";"50";"283"
"430080 ANTONIO PRADO";"61";"52";"62";"40";"49";"15";"45";"37";"36";"62";"63";"45";"567"
"430085 ARAMBARE";"6";"8";"13";"8";"16";"12";"4";"14";"19";"1";"0";"8";"109"
"430087 ARARICA";"0";"34";"47";"33";"51";"38";"35";"34";"52";"75";"57";"43";"499"
"430090 ARATIBA";"13";"17";"13";"10";"8";"21";"27";"18";"26";"17";"0";"33";"203"
"430100 ARROIO DO MEIO";"137";"147";"183";"89";"176";"59";"225";"78";"157";"90";"75";"114";"1530"
"430105 ARROIO DO SAL";"45";"21";"36";"39";"25";"60";"49";"22";"96";"72";"139";"47";"651"
"430107 ARROIO DO PADRE";"27";"9";"17";"20";"36";"25";"0";"34";"0";"31";"11";"15";"225"
"430110 ARROIO DOS RATOS";"48";"44";"36";"22";"127";"67";"95";"49";"65";"55";"28";"73";"709"
"430120 ARROIO DO TIGRE";"60";"68";"108";"81";"61";"24";"53";"77";"85";"159";"154";"130";"1060"
"430130 ARROIO GRANDE";"75";"105";"80";"58";"69";"61";"63";"26";"130";"98";"61";"105";"931"
"430140 ARVOREZINHA";"49";"85";"71";"33";"43";"61";"66";"93";"44";"53";"18";"45";"661"
"430150 AUGUSTO PESTANA";"7";"3";"23";"49";"32";"52";"42";"37";"66";"32";"38";"37";"418"
"430155 AUREA";"25";"8";"2";"21";"11";"21";"23";"7";"0";"8";"0";"25";"151"
"430160 BAGE";"421";"173";"516";"408";"379";"318";"289";"341";"415";"381";"373";"641";"4655"
"430163 BALNEARIO PINHAL";"67";"67";"83";"75";"63";"41";"66";"73";"89";"99";"66";"60";"849"
"430165 BARAO";"38";"35";"37";"22";"42";"20";"32";"31";"36";"32";"21";"40";"386"
"430170 BARAO DE COTEGIPE";"58";"22";"27";"28";"34";"24";"16";"17";"32";"30";"22";"21";"331"
"430175 BARAO DO TRIUNFO";"35";"14";"2";"29";"39";"55";"11";"34";"38";"13";"1";"10";"281"
"430180 BARRACAO";"47";"24";"68";"12";"33";"23";"27";"23";"16";"48";"149";"84";"554"
"430185 BARRA DO GUARITA";"0";"11";"24";"8";"0";"0";"34";"11";"7";"12";"37";"4";"148"
"430187 BARRA DO QUARAI";"22";"7";"21";"9";"9";"18";"38";"15";"0";"9";"0";"91";"239"
"430190 BARRA DO RIBEIRO";"53";"36";"41";"3";"60";"44";"82";"32";"86";"44";"23";"24";"528"
"430192 BARRA DO RIO AZUL";"9";"20";"8";"2";"6";"8";"0";"13";"9";"0";"0";"10";"85"
"430195 BARRA FUNDA";"23";"14";"9";"2";"32";"27";"18";"12";"16";"24";"13";"27";"217"
"430200 BARROS CASSAL";"14";"18";"19";"15";"26";"16";"17";"6";"9";"2";"11";"21";"174"
"430205 BENJAMIN CONSTANT DO SUL";"6";"4";"3";"4";"35";"8";"13";"8";"6";"4";"12";"10";"113"
"430210 BENTO GONCALVES";"365";"387";"440";"755";"572";"501";"425";"454";"552";"597";"677";"426";"6151"
"430215 BOA VISTA DAS MISSOES";"12";"4";"3";"0";"17";"11";"4";"9";"12";"10";"3";"11";"96"
"430220 BOA VISTA DO BURICA";"36";"28";"23";"13";"55";"44";"25";"33";"47";"28";"65";"44";"441"
