"Munic.da un.saúde";"JANEIRO/2025";"FEVEREIRO/2025";"MARÇO/2025";"ABRIL/2025";"MAIO/2025";"JUNHO/2025";"JULHO/2025";"AGOSTO/2025";"SETEMBRO/2025";"OUTUBRO/2025";"NOVEMBRO/2025";"DEZEMBRO/2025";" Total"
"430160 BAGE";"14";"5";"4";"7";"5";"9";"8";"11";"9";"7";"13";"5";"97"
"430210 BENTO GONCALVES";"2";"6";"4";"0";"7";"4";"6";"2";"4";"8";"4";"3";"50"
"430222 BOA VISTA DO CADEADO";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1"
"430223 BOA VISTA DO INCRA";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"3";"6"
"430380 CAMPINAS DO SUL";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"2"
"430480 CARLOS BARBOSA";"0";"0";"0";"0";"3";"1";"2";"0";"2";"1";"3";"2";"14"
"430510 CAXIAS DO SUL";"68";"35";"47";"98";"61";"51";"76";"61";"68";"61";"55";"59";"740"
"430610 CRUZ ALTA";"1";"0";"3";"2";"2";"0";"1";"1";"6";"2";"0";"4";"22"
"430613 CRUZALTENSE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1"
"430690 ENCRUZILHADA DO SUL";"0";"4";"2";"6";"0";"0";"0";"0";"0";"0";"0";"0";"12"
"430700 ERECHIM";"9";"2";"4";"8";"2";"7";"3";"3";"6";"5";"8";"0";"57"
"431000 IBIRUBA";"0";"1";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"4"
"431267 NICOLAU VERGUEIRO";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"3"
"431270 NONOAI";"1";"0";"0";"2";"0";"0";"0";"0";"2";"0";"0";"0";"5"
"431340 NOVO HAMBURGO";"1";"33";"5";"1";"12";"13";"28";"24";"0";"25";"21";"5";"168"
"431400 PARAI";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
"431410 PASSO FUNDO";"22";"20";"29";"32";"29";"21";"43";"21";"26";"29";"20";"36";"328"
"431413 PAULO BENTO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2"
"431440 PELOTAS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"14";"14"
"431480 PORTAO";"0";"3";"1";"2";"0";"3";"3";"2";"0";"3";"3";"1";"21"
"431490 PORTO ALEGRE";"7";"12";"9";"13";"17";"18";"8";"9";"11";"49";"15";"7";"175"
"431531 QUATRO IRMAOS";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"431535 QUINZE DE NOVEMBRO";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"431645 SALTO DO JACUI";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"4";"5"
"431680 SANTA CRUZ DO SUL";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1"
"431690 SANTA MARIA";"3";"1";"9";"0";"4";"15";"2";"15";"3";"2";"17";"10";"81"
"431695 SANTA MARIA DO HERVAL";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1"
"431750 SANTO ANGELO";"0";"0";"0";"0";"0";"4";"8";"6";"0";"0";"10";"0";"28"
"431890 SAO LUIZ GONZAGA";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4"
"432030 SELBACH";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
"432100 TAPERA";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"4"
"432220 TUPANCIRETA";"2";"1";"1";"2";"2";"6";"0";"1";"1";"7";"0";"2";"25"
"432250 VACARIA";"3";"0";"0";"3";"8";"1";"1";"0";"0";"0";"0";"0";"16"
"Total";"134";"126";"122";"178";"153";"157";"191";"160";"139";"201";"172";"158";"1891"
