"Munic do un.saúde";"JANEIRO/2025";"FEVEREIRO/2025";"MARÇO/2025";"ABRIL/2025";"MAIO/2025";"JUNHO/2025";"JULHO/2025";"AGOSTO/2025";"SETEMBRO/2025";"OUTUBRO/2025";"NOVEMBRO/2025";"DEZEMBRO/2025";" Total"
"430070 ANTA GORDA";"0";"0";"0";"1";"0";"0";"2";"0";"0";"1";"1";"0";"5"
"430100 ARROIO DO MEIO";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"2"
"430160 BAGE";"2";"2";"3";"6";"2";"2";"3";"1";"2";"4";"4";"5";"36"
"430205 BENJAMIN CONSTANT DO SUL";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1"
"430210 BENTO GONCALVES";"18";"7";"9";"5";"1";"9";"14";"9";"3";"9";"2";"9";"95"
"430222 BOA VISTA DO CADEADO";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1"
"430225 BOA VISTA DO SUL";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"4";"3";"10"
"430380 CAMPINAS DO SUL";"0";"2";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"4"
"430390 CAMPO BOM";"3";"7";"8";"8";"5";"3";"7";"6";"9";"10";"2";"2";"70"
"430420 CANDELARIA";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"3"
"430460 CANOAS";"10";"8";"4";"13";"12";"11";"2";"10";"7";"12";"11";"11";"111"
"430480 CARLOS BARBOSA";"0";"4";"4";"5";"0";"2";"5";"1";"2";"5";"1";"1";"30"
"430510 CAXIAS DO SUL";"31";"38";"28";"46";"34";"25";"39";"24";"39";"36";"32";"39";"411"
"430537 CHARRUA";"0";"2";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"5"
"430610 CRUZ ALTA";"5";"4";"6";"3";"7";"3";"4";"6";"2";"4";"2";"2";"48"
"430630 DAVID CANABARRO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
"430640 DOIS IRMAOS";"0";"0";"1";"0";"2";"2";"0";"0";"1";"0";"1";"1";"8"
"430645 DOIS LAJEADOS";"0";"0";"0";"0";"0";"1";"3";"1";"0";"0";"0";"0";"5"
"430680 ENCANTADO";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1"
"430690 ENCRUZILHADA DO SUL";"0";"3";"6";"4";"0";"0";"0";"0";"0";"0";"0";"0";"13"
"430700 ERECHIM";"1";"0";"5";"8";"9";"2";"9";"3";"6";"2";"5";"2";"52"
"430760 ESTANCIA VELHA";"2";"2";"3";"3";"2";"2";"2";"4";"3";"1";"0";"1";"25"
"430780 ESTRELA";"3";"0";"3";"2";"1";"2";"2";"1";"4";"0";"2";"3";"23"
"430790 FARROUPILHA";"9";"1";"7";"4";"7";"5";"2";"0";"0";"8";"4";"5";"52"
"430805 FAXINALZINHO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
"430860 GARIBALDI";"0";"2";"1";"3";"2";"4";"2";"0";"4";"4";"0";"6";"28"
"430940 GUAPORE";"2";"5";"6";"11";"12";"4";"7";"1";"0";"0";"0";"1";"49"
"431000 IBIRUBA";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1"
"431020 IJUI";"2";"1";"1";"2";"0";"0";"1";"3";"0";"0";"0";"4";"14"
"431030 ILOPOLIS";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1"
"431127 LAGOA DOS TRES CANTOS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1"
"431130 LAGOA VERMELHA";"0";"0";"1";"2";"0";"1";"1";"0";"2";"0";"0";"1";"8"
"431140 LAJEADO";"1";"2";"2";"12";"5";"1";"2";"5";"5";"4";"5";"8";"52"
"431162 LINDOLFO COLLOR";"4";"0";"0";"5";"0";"1";"1";"0";"0";"0";"2";"1";"14"
"431180 MARAU";"10";"2";"4";"7";"0";"4";"0";"2";"5";"2";"1";"4";"41"
"431215 MATO LEITAO";"1";"4";"0";"0";"1";"3";"0";"0";"0";"1";"0";"0";"10"
"431270 NONOAI";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"3"
"431275 NOVA ALVORADA";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"3";"1";"7"
"431290 NOVA BASSANO";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"4"
"431320 NOVA PETROPOLIS";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
"431340 NOVO HAMBURGO";"0";"0";"0";"0";"0";"0";"0";"0";"10";"9";"8";"5";"32"
"431407 PASSO DO SOBRADO";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"431410 PASSO FUNDO";"9";"11";"10";"11";"9";"17";"24";"22";"12";"23";"27";"21";"196"
"431413 PAULO BENTO";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"431480 PORTAO";"2";"5";"0";"3";"1";"9";"1";"1";"1";"3";"5";"1";"32"
"431490 PORTO ALEGRE";"25";"33";"18";"26";"40";"27";"34";"39";"37";"69";"42";"37";"427"
"431514 PRESIDENTE LUCENA";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"4"
"431535 QUINZE DE NOVEMBRO";"0";"1";"0";"1";"0";"0";"0";"1";"1";"3";"1";"0";"8"
"431560 RIO GRANDE";"0";"0";"0";"0";"0";"0";"0";"1";"1";"3";"4";"0";"9"
"431580 ROCA SALES";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"3"
"431675 SANTA CLARA DO SUL";"1";"0";"0";"3";"1";"0";"1";"0";"1";"3";"0";"0";"10"
"431680 SANTA CRUZ DO SUL";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"3";"0";"6"
"431690 SANTA MARIA";"11";"9";"15";"0";"5";"16";"2";"18";"7";"10";"21";"4";"118"
"431725 SANTA TEREZA";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3"
"431750 SANTO ANGELO";"0";"0";"17";"0";"6";"2";"2";"4";"0";"0";"10";"0";"41"
"431844 SAO JORGE";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"3"
"431846 SAO JOSE DO HERVAL";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
"431971 SAO VALENTIM DO SUL";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1"
"432000 SAPUCAIA DO SUL";"7";"6";"8";"5";"7";"0";"0";"0";"0";"0";"0";"0";"33"
"432023 SEDE NOVA";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"432030 SELBACH";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
"432060 SEVERIANO DE ALMEIDA";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"3"
"432067 SINIMBU";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
"432080 SOLEDADE";"0";"2";"0";"0";"0";"4";"1";"2";"0";"2";"0";"1";"12"
"432090 TAPEJARA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"4"
"432100 TAPERA";"0";"0";"0";"0";"0";"1";"0";"3";"0";"0";"0";"0";"4"
"432145 TEUTONIA";"3";"1";"4";"2";"2";"2";"6";"1";"2";"3";"1";"4";"31"
"432146 TIO HUGO";"0";"1";"0";"0";"1";"2";"1";"1";"0";"1";"3";"2";"12"
"432220 TUPANCIRETA";"2";"3";"1";"0";"1";"3";"1";"1";"3";"1";"2";"0";"18"
"432235 UNIAO DA SERRA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1"
"432250 VACARIA";"12";"8";"0";"7";"4";"6";"0";"0";"14";"8";"13";"2";"74"
"432254 VALE REAL";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
