"Munic.da un.saúde";"JANEIRO/2025";"FEVEREIRO/2025";"MARÇO/2025";"ABRIL/2025";"MAIO/2025";"JUNHO/2025";"JULHO/2025";"AGOSTO/2025";"SETEMBRO/2025";"OUTUBRO/2025";"NOVEMBRO/2025";"DEZEMBRO/2025";" Total"
"430003 ACEGUA";"12";"11";"6";"8";"14";"6";"14";"6";"11";"14";"8";"6";"116"
"430005 AGUA SANTA";"13";"14";"16";"12";"13";"7";"6";"14";"7";"12";"30";"35";"179"
"430010 AGUDO";"116";"130";"139";"109";"161";"117";"35";"106";"178";"224";"361";"214";"1890"
"430020 AJURICABA";"44";"45";"20";"22";"36";"25";"22";"29";"10";"25";"32";"17";"327"
"430030 ALECRIM";"11";"20";"31";"20";"28";"25";"11";"8";"7";"30";"9";"41";"241"
"430040 ALEGRETE";"291";"251";"180";"257";"272";"202";"236";"205";"238";"280";"288";"283";"2983"
"430045 ALEGRIA";"4";"5";"14";"4";"22";"20";"13";"15";"15";"5";"0";"17";"134"
"430047 ALMIRANTE TAMANDARE DO SUL";"9";"2";"0";"0";"0";"2";"6";"20";"11";"8";"23";"7";"88"
"430050 ALPESTRE";"26";"22";"20";"0";"1";"6";"11";"28";"51";"5";"41";"17";"228"
"430055 ALTO ALEGRE";"2";"4";"5";"0";"4";"4";"5";"1";"7";"0";"7";"3";"42"
"430057 ALTO FELIZ";"15";"7";"9";"7";"7";"0";"7";"4";"4";"1";"5";"7";"73"
"430060 ALVORADA";"439";"520";"468";"660";"189";"0";"0";"628";"983";"822";"1234";"591";"6534"
"430063 AMARAL FERRADOR";"19";"3";"14";"7";"0";"5";"4";"2";"1";"12";"20";"15";"102"
"430064 AMETISTA DO SUL";"27";"21";"16";"28";"3";"21";"24";"24";"16";"13";"92";"21";"306"
"430066 ANDRE DA ROCHA";"6";"4";"4";"2";"7";"0";"7";"4";"3";"0";"0";"2";"39"
"430070 ANTA GORDA";"20";"19";"20";"9";"21";"9";"13";"24";"19";"24";"23";"14";"215"
"430080 ANTONIO PRADO";"36";"38";"33";"34";"27";"30";"44";"29";"24";"63";"65";"52";"475"
"430085 ARAMBARE";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3"
"430087 ARARICA";"0";"0";"22";"5";"11";"9";"7";"7";"7";"8";"13";"11";"100"
"430090 ARATIBA";"28";"22";"23";"21";"15";"14";"17";"19";"22";"24";"21";"15";"241"
"430100 ARROIO DO MEIO";"52";"51";"57";"41";"57";"54";"54";"63";"56";"46";"45";"192";"768"
"430105 ARROIO DO SAL";"28";"27";"23";"21";"20";"25";"28";"25";"11";"9";"8";"2";"227"
"430107 ARROIO DO PADRE";"5";"8";"4";"8";"5";"0";"8";"5";"6";"6";"0";"0";"55"
